基金代码,基金简称,基金类型,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,fetch_date
160221,国泰国证有色金属行业指数(LOF)A,指数型-股票,2.3542,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
160222,国泰国证食品饮料行业(LOF)A,指数型-股票,0.6608,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
160223,国泰创业板指数(LOF)A,指数型-股票,1.9174,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160224,国泰中证计算机主题ETF联接A,指数型-股票,0.8902,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.1,20260901
160225,国泰国证新能源汽车指数A,指数型-股票,1.7573,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160226,国泰民益混合(LOF)C,混合型-灵活,4.565,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160311,华夏蓝筹混合(LOF)A,混合型-灵活,1.419,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160314,华夏行业混合(LOF),混合型-偏股,1.382,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160322,华夏港股通精选股票发起式(LOF)A,股票型,1.0526,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160323,华夏磐泰混合(LOF)A,混合型-偏债,1.7725,08-31,限购1000,开放赎回,,10.0,1000.0,0.1,20260901
160324,华夏磐晟混合(LOF),混合型-灵活,3.3162,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160325,华夏创业板两年定开混合,混合型-偏股,1.6559,08-31,开放申购,开放赎回,2026-08-20,10.0,100000000000.0,0.15,20260901
160326,华夏优选配置股票(FOF-LOF)A,FOF-进取型,0.9428,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160416,华安标普全球石油指数(LOF)A,指数型-海外股票,2.1719,08-28,暂停申购,开放赎回,,10.0,2.0,0.12,20260901
160418,华安中证银行ETF联接A,指数型-股票,1.3267,08-31,限购500万,开放赎回,,10.0,5000000.0,0.12,20260901
160419,华安中证全指证券公司ETF联接A,指数型-股票,1.1474,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160420,华安创业板50指数A,指数型-股票,1.8691,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160421,华安智增精选混合,混合型-灵活,1.7569,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160422,华安创业板50ETF联接A,指数型-股票,2.6409,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
160424,华安创业板50ETF联接C,指数型-股票,2.5929,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
160425,华安创业板两年定开混合,混合型-偏股,2.1425,08-28,暂停申购,暂停赎回,2026-10-20,10.0,100000000000.0,0.15,20260901
160505,博时主题行业混合(LOF),混合型-偏股,1.086,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160512,博时卓越品牌混合(LOF)A,混合型-偏股,2.988,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
160513,博时稳健回报债券(LOF)A,债券型-混合一级,2.2192,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.08,20260901
